"Category","2022","2023","2024","2025 YTD"
"January",3714049.9023,2397011.0479,4784140.7007,1125238.512
"February",3337793.0489,4414048.1807,3566280.1849,73228.0479
"March",3056062.1524,2934611.6377,3962206.204,
"April",2679032.7096,2677202.2525,3739235.3226,
"May",2439539.5662,3077135.9319,3616283.1162,
"June",1245695.2398,3120742.3681,3753163.2158,
"July",1354950.3897,3292332.6503,3931329.9769,
"August",1399714.5865,2998534.3822,4086585.8886,
"September",1302293.8707,2902832.5013,3806774.482,
"October",1285034.7993,2942231.6775,3680776.7638,
"November",1938205.2066,2848446.3542,3489877.7264,
"December",2417280.6381,3748325.1971,878176.2203,
